wl,n,k
1.722,3.46439,1.75E-10
1.724,3.46426,1.78E-10
1.726,3.46414,1.80E-10
1.728,3.46402,1.82E-10
1.73,3.4639,1.84E-10
1.732,3.46378,1.87E-10
1.734,3.46366,1.89E-10
1.736,3.46354,1.91E-10
1.738,3.46342,1.93E-10
1.74,3.4633,1.96E-10
1.742,3.46318,1.98E-10
1.744,3.46306,2.00E-10
1.746,3.46295,2.03E-10
1.748,3.46283,2.05E-10
1.75,3.46271,2.07E-10
1.752,3.4626,2.10E-10
1.754,3.46248,2.12E-10
1.756,3.46237,2.14E-10
1.758,3.46225,2.17E-10
1.76,3.46214,2.19E-10
1.762,3.46202,2.22E-10
1.764,3.46191,2.24E-10
1.766,3.4618,2.26E-10
1.768,3.46169,2.29E-10
1.77,3.46157,2.31E-10
1.772,3.46146,2.34E-10
1.774,3.46135,2.36E-10
1.776,3.46124,2.38E-10
1.778,3.46113,2.41E-10
1.78,3.46102,2.43E-10
1.782,3.46091,2.46E-10
1.784,3.4608,2.48E-10
1.786,3.46069,2.51E-10
1.788,3.46059,2.53E-10
1.79,3.46048,2.56E-10
1.792,3.46037,2.58E-10
1.794,3.46026,2.61E-10
1.796,3.46016,2.63E-10
1.798,3.46005,2.66E-10
1.8,3.45995,2.68E-10
1.802,3.45984,2.71E-10
1.804,3.45974,2.73E-10
1.806,3.45963,2.76E-10
1.808,3.45953,2.78E-10
1.81,3.45943,2.81E-10
1.812,3.45932,2.83E-10
1.814,3.45922,2.86E-10
1.816,3.45912,2.88E-10
1.818,3.45902,2.91E-10
1.82,3.45892,2.93E-10
1.822,3.45881,2.96E-10
1.824,3.45871,2.99E-10
1.826,3.45861,3.01E-10
1.828,3.45851,3.04E-10
1.83,3.45842,3.06E-10
1.832,3.45832,3.09E-10
1.834,3.45822,3.11E-10
1.836,3.45812,3.14E-10
1.838,3.45802,3.17E-10
1.84,3.45793,3.19E-10
1.842,3.45783,3.22E-10
1.844,3.45773,3.24E-10
1.846,3.45764,3.27E-10
1.848,3.45754,3.29E-10
1.85,3.45745,3.32E-10
1.852,3.45735,3.35E-10
1.854,3.45726,3.37E-10
1.856,3.45716,3.40E-10
1.858,3.45707,3.42E-10
1.86,3.45698,3.45E-10
1.862,3.45688,3.48E-10
1.864,3.45679,3.50E-10
1.866,3.4567,3.53E-10
1.868,3.45661,3.56E-10
1.87,3.45652,3.58E-10
1.872,3.45642,3.61E-10
1.874,3.45633,3.63E-10
1.876,3.45624,3.66E-10
1.878,3.45615,3.69E-10
1.88,3.45606,3.71E-10
1.882,3.45598,3.74E-10
1.884,3.45589,3.77E-10
1.886,3.4558,3.79E-10
1.888,3.45571,3.82E-10
1.89,3.45562,3.84E-10
1.892,3.45554,3.87E-10
1.894,3.45545,3.90E-10
1.896,3.45536,3.92E-10
1.898,3.45528,3.95E-10
1.9,3.45519,3.98E-10
1.902,3.45511,4.00E-10
1.904,3.45502,4.03E-10
1.906,3.45494,4.06E-10
1.908,3.45485,4.08E-10
1.91,3.45477,4.11E-10
1.912,3.45468,4.13E-10
1.914,3.4546,4.16E-10
1.916,3.45452,4.19E-10
1.918,3.45444,4.21E-10
1.92,3.45435,4.24E-10
1.922,3.45427,4.27E-10
1.924,3.45419,4.29E-10
1.926,3.45411,4.32E-10
1.928,3.45403,4.34E-10
1.93,3.45395,4.37E-10
1.932,3.45387,4.40E-10
1.934,3.45379,4.42E-10
1.936,3.45371,4.45E-10
1.938,3.45363,4.48E-10
1.94,3.45355,4.50E-10
